"Datum und Uhrzeit","PH Theater","PP Hörsterplatz","PH Alter Steinweg",Busparkplatz,"PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3"
"2020-11-28 19:35",648,67,315,4,180,150,670,135,129,137,257,233,415,276,521,171
"2020-11-28 19:40",649,56,320,4,156,149,674,116,134,138,260,234,417,278,521,171
"2020-11-28 19:45",650,45,323,5,123,149,677,97,137,139,263,234,418,278,521,171
"2020-11-28 19:50",651,45,327,9,123,149,680,78,140,141,266,234,418,279,521,171
"2020-11-28 19:55",653,46,331,1,100,149,684,59,144,143,269,234,420,279,521,171
"2020-11-28 20:00",653,47,335,1,69,100,688,39,147,144,272,235,421,280,521,171
"2020-11-28 20:05",654,36,338,0,0,66,690,20,149,146,277,235,423,280,521,171
"2020-11-28 20:10",655,36,342,0,0,10,694,20,150,151,280,236,424,281,521,171
"2020-11-28 20:15",656,37,344,0,0,10,696,20,150,154,283,237,425,282,521,171
"2020-11-28 20:20",657,25,346,0,0,10,698,20,150,154,284,237,427,282,521,171
"2020-11-28 20:25",658,25,347,0,0,10,699,20,150,155,285,238,428,283,521,171
"2020-11-28 20:30",659,1,348,0,0,10,701,20,150,156,286,238,428,283,521,171
"2020-11-28 20:35",659,0,349,0,0,10,702,20,150,156,286,238,429,283,521,171
"2020-11-28 20:40",660,0,351,0,0,10,703,20,150,156,287,238,430,283,521,171
"2020-11-28 20:45",660,0,351,0,0,10,704,20,139,156,287,238,430,284,521,171
"2020-11-28 20:50",661,0,352,0,0,10,704,20,139,156,287,238,430,283,521,172
"2020-11-28 20:55",661,0,352,0,0,10,705,20,139,156,288,238,431,283,521,172
"2020-11-28 21:00",661,0,353,0,0,10,705,20,139,156,288,238,431,284,521,172
"2020-11-28 21:05",662,0,353,0,0,10,705,20,139,156,289,237,432,283,521,172
"2020-11-28 21:10",662,0,353,0,0,10,705,20,139,156,289,237,432,283,521,172
"2020-11-28 21:15",662,0,354,0,0,10,706,20,139,156,289,237,432,283,522,172
